Job Family;Sub Job Family;Job Profile;Function Code;Discipline Code;Career Path;Global Grade;SIG Full Title;Full Job Code;Career Level;Sub Job Family Description;Job Profile Description;Role Description;Grade Differentiatior;Qualifications;Specific parameters KPIs
Finance;Treasury;Treasury;AFT;AFT030;Professional;10;Senior Specialist Treasury;AFT030-P2-10;P2;Performs treasury operations involving cash funds, foreign exchange, debt and capital management. Provides analytical and technical support to treasury-related activities.;Performs treasury operations involving cash funds, foreign exchange, debt and capital management | Provides analytical and technical support to treasury-related activities;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● Typically follows prescribed guidelines or procedures to resolve problems
● Has working knowledge of basic concepts and procedures; performs a variety of routine tasks or assignments
● May train new team members and provide input to employee performance evaluations
● Works with a moderate level of guidance";University degree or equivalent and 2-4 years of work experience or equivalent;
Finance;Treasury;Treasury;AFT;AFT030;Professional;9;Senior Specialist Treasury;AFT030-P2-09;P2;Performs treasury operations involving cash funds, foreign exchange, debt and capital management. Provides analytical and technical support to treasury-related activities.;Performs treasury operations involving cash funds, foreign exchange, debt and capital management | Provides analytical and technical support to treasury-related activities;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● May have limited work experience involving basic concepts and procedures
● Develops competence by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Works under supervision and direction from more senior level roles";University degree or equivalent and 2-4 years of work experience or equivalent;
Finance;Treasury;Treasury;AFT;AFT030;Professional;8;Specialist Treasury;AFT030-P1-08;P1;Performs treasury operations involving cash funds, foreign exchange, debt and capital management. Provides analytical and technical support to treasury-related activities.;Performs treasury operations involving cash funds, foreign exchange, debt and capital management | Provides analytical and technical support to treasury-related activities;"● Performs routine assignments in the entry level of the Professional Career Band
● Typically requires a college or university degree or the equivalent work experience and has conceptual knowledge of fundamental theories, principles and practices 
● Has no discretion to vary from established procedures by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Receives instruction, guidance and direction from more senior level roles";"● Performs routine assignments in the entry level of the Professional Career Band
● Typically requires a college or university degree or the equivalent work experience and has conceptual knowledge of fundamental theories, principles and practices 
● Has no discretion to vary from established procedures by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Receives instruction, guidance and direction from more senior level roles";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";University degree or equivalent and 0-1 year of work experience or equivalent
Finance;Treasury;Treasury;AFT;AFT030;Professional;7;Assistant / Analyst Treasury;AFT030-U3-07;U3;Performs treasury operations involving cash funds, foreign exchange, debt and capital management. Provides analytical and technical support to treasury-related activities.;Performs treasury operations involving cash funds, foreign exchange, debt and capital management | Provides analytical and technical support to treasury-related activities;"● Has full proficiency gained through job-related training and considerable work experience
● Completes work with a limited degree of supervision
● Likely to act as an informal resource for colleagues with less experience
● Identifies key issues and patterns from partial/conflicting data
● Takes a broad perspective to problems and spots new, less obvious solutions";"● Has full proficiency gained through job-related training and considerable work experience
● Completes work with a limited degree of supervision
● Likely to act as an informal resource for colleagues with less experience
● Identifies key issues and patterns from partial/conflicting data
● Takes a broad perspective to problems and spots new, less obvious solutions";https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/VUKmwDa92Y9RVKsDD7OI.png;
Finance;Treasury;Treasury;AFT;AFT030;Professional;6;Assistant / Analyst Treasury;AFT030-U2-06;U2;Performs treasury operations involving cash funds, foreign exchange, debt and capital management. Provides analytical and technical support to treasury-related activities.;Performs treasury operations involving cash funds, foreign exchange, debt and capital management | Provides analytical and technical support to treasury-related activities;"● Has working knowledge and skills developed through formal training or work experience
● Works within established procedures with a moderate degree of supervision
● Identifies the problem and all relevant issues in straightforward situations, assesses each using standard procedures and makes sound decisions";"● Has prior relevant training or related work experience
● Performs routine tasks following specific instructions or under close supervision
● Work is clearly defined and completed according to instruction";Vocational training in e.g. commercial field or equivalent work experience. Up to 5 years of experience, possibly further internal trainings.;
Finance;Treasury;Treasury;AFT;AFT030;Professional;5;Assistant / Analyst Treasury;AFT030-U2-05;U2;Performs treasury operations involving cash funds, foreign exchange, debt and capital management. Provides analytical and technical support to treasury-related activities.;Performs treasury operations involving cash funds, foreign exchange, debt and capital management | Provides analytical and technical support to treasury-related activities;"● Has working knowledge and skills developed through formal training or work experience
● Works within established procedures with a moderate degree of supervision
● Identifies the problem and all relevant issues in straightforward situations, assesses each using standard procedures and makes sound decisions";"● Has limited prior relevant training or work experience
● Has limited discretion to vary from established procedures";Vocational training in e.g. commercial field or equivalent work experience. Up to 5 years of experience, possibly further internal trainings.;
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;16;Program Manager Business IT/ Digital Projects;APM010-M4-16;M4;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Provides leadership and direction through Senior Managers and Managers
● Has accountability for the performance and results of:
● A large, strategically important discipline in an extremely large market; and/or
● Related disciplines or a medium-sized function in a large market or medium-sized division; and/or
● A medium-sized discipline or department in a major region
● Adapts and executes functional or departmental business plans and contributes to the development of functional or departmental strategies
● Decisions are guided by functional or major operational segment strategies and priorities";"● Provides leadership and direction through Senior Managers and Managers respectively Senior Experts and Experts
● Has accountability for the performance and results of:
● A large, strategically important discipline in an extremely large market; and/or
● Related disciplines or a medium-sized function in a large market or medium-sized division; and/or
● A medium-sized discipline or department in a major region
● Adapts and executes functional or departmental business plans and contributes to the development of functional or departmental strategies
● Decisions are guided by functional or major operational segment strategies and priorities";"University degree or equivalent and 2-4 years of work experience or
  equivalent";"University degree or equivalent and 10+ years of work experience or equivalent, 
Very experienced in functionally leading cross-functional projects"
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;15;Program Manager Business IT/ Digital Projects;APM010-M3-15;M3;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Looks beyond existing methodologies and own discipline to define and resolve complex problems
● Develops plans and delivers results in fast-changing businesses and/or regulatory environments
● Provides input to functional or departmental strategy
● Manages large, potentially diverse teams of managers and/or senior professionals
";"University degree or equivalent and 10+ years of work experience or equivalent, 
Very experienced in functionally leading cross-functional projects";
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;14;Senior Project Manager Business IT/ Digital Projects;APM010-M3-14;M3;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Identifies applications of functional knowledge and existing methodologies to complex problems
● Manages large teams of professionals and/or junior managers
";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;13;Senior Project Manager Business IT/ Digital Projects;APM010-P4-13;P4;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in specialized area based on existing solutions and procedures
● Serves as an expert within own discipline
● May lead function teams or projects and serves as a best practices/quality resource
● Trains/mentors junior staff";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;12;Project Manager Business IT/ Digital Projects;APM010-P3-12;P3;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Has in-depth knowledge in own discipline and basic knowledge of related disciplines
● Solves complex problems; takes a new perspective on existing solutions
● Works independently; receives minimal guidance
● May lead projects or project steps within a broader project or have accountability for ongoing activities or objectives
● Acts as a resource for colleagues with less experience
● May represent the level at which career may stabilize for many years or even until retirement";"● Uses best practices and knowledge of internal or external business issues to improve products/services or processes
● Typically resolves complex problems or problems where precedent may not exist
● Often leads the work of small project teams; may formally train other employees (more junior and/or senior)
● Works independently";"University degree or equivalent and 4-8 years of work experience or equivalent, 
Initial experience in functionally leading (sub-) projects";
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;11;Project Manager Business IT/ Digital Projects;APM010-P3-11;P3;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Has in-depth knowledge in own discipline and basic knowledge of related disciplines
● Solves complex problems; takes a new perspective on existing solutions
● Works independently; receives minimal guidance
● May lead projects or project steps within a broader project or have accountability for ongoing activities or objectives
● Acts as a resource for colleagues with less experience
● May represent the level at which career may stabilize for many years or even until retirement";"● Contributes to process improvements
● Typically resolves problems using existing solutions
● Occasionally leads the work of small project teams; provides informal guidance/training to other employees (more junior and/or senior)
● Works with minimal guidance";"University degree or equivalent and 4-8 years of work experience or equivalent, 
Initial experience in functionally leading (sub-) projects";
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;10;Senior Project Coordinator Business IT/ Digital Projects;APM010-P2-10;P2;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● Typically follows prescribed guidelines or procedures to resolve problems
● Has working knowledge of basic concepts and procedures; performs a variety of routine tasks or assignments
● May train new team members and provide input to employee performance evaluations
● Works with a moderate level of guidance";University degree or equivalent and 2-4 years of work experience or equivalent;
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;9;Senior Project Coordinator Business IT/ Digital Projects;APM010-P2-09;P2;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● May have limited work experience involving basic concepts and procedures
● Develops competence by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Works under supervision and direction from more senior level roles";University degree or equivalent and 2-4 years of work experience or equivalent;
IT;Business IT/ Digital Projects;Business IT/ Digital Projects;APM;APM010;Projects;8;Project Coordinator Business IT/ Digital Projects;APM010-P1-08;P1;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function. Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met. Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;Manages all aspects of a diverse business IT project or multiple IT projects, typically involving multiple Disciplines in the business IT Function | Utilizes expertise, stakeholder management and leadership skills to direct staff and to resolve issues to ensure project goals and requirements are met | Typically uses development techniques and tools for team collaboration, issue tracking and backlog management;"● Performs routine assignments in the entry level of the Professional Career Band
● Typically requires a college or university degree or the equivalent work experience and has conceptual knowledge of fundamental theories, principles and practices 
● Has no discretion to vary from established procedures by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Receives instruction, guidance and direction from more senior level roles";"● Performs routine assignments in the entry level of the Professional Career Band
● Typically requires a college or university degree or the equivalent work experience and has conceptual knowledge of fundamental theories, principles and practices 
● Has no discretion to vary from established procedures by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Receives instruction, guidance and direction from more senior level roles";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";University degree or equivalent and 0-1 year of work experience or equivalent
IT;General IT;General IT;AIC;AIC000;Management;17;Senior Group Manager General IT;AIC000-EX-17;EX;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Holds management accountability for a business, division, major geography, corporate function or major corporate sub-function
● Develops, establishes and approves long-term vision and strategy for the area managed
● May be a board or executive committee member or have a comparable level of influence";"● Typically reports to the head of a subregion, country, division or function
● In large organizations (Global Grade 20 to 22), heads an infrastructure function with indirect impact on business performance
● Provides leadership and direction through Senior Managers and Managers respectively Senior Experts and Experts";"University degree or equivalent and 10-15 years of work experience or equivalent
Profound experience in management of a global function or major region including setting the respective strategy";
IT;General IT;General IT;AIC;AIC000;Management;16;Group Manager General IT;AIC000-M4-16;M4;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Provides leadership and direction through Senior Managers and Managers
● Has accountability for the performance and results of:
● A large, strategically important discipline in an extremely large market; and/or
● Related disciplines or a medium-sized function in a large market or medium-sized division; and/or
● A medium-sized discipline or department in a major region
● Adapts and executes functional or departmental business plans and contributes to the development of functional or departmental strategies
● Decisions are guided by functional or major operational segment strategies and priorities";"● Provides leadership and direction through Senior Managers and Managers respectively Senior Experts and Experts
● Has accountability for the performance and results of:
● A large, strategically important discipline in an extremely large market; and/or
● Related disciplines or a medium-sized function in a large market or medium-sized division; and/or
● A medium-sized discipline or department in a major region
● Adapts and executes functional or departmental business plans and contributes to the development of functional or departmental strategies
● Decisions are guided by functional or major operational segment strategies and priorities";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";"University degree or equivalent and 10-15 years of work experience or equivalent
Profound experience in management of a global function or major region including setting the respective strategy"
IT;General IT;General IT;AIC;AIC000;Management;15;Senior Manager General IT;AIC000-M3-15;M3;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Looks beyond existing methodologies and own discipline to define and resolve complex problems
● Develops plans and delivers results in fast-changing businesses and/or regulatory environments
● Provides input to functional or departmental strategy
● Manages large, potentially diverse teams of managers and/or senior professionals
";"University degree or equivalent and 10+ years of work experience or equivalent
Profound experience in managing performance and results of diverse activities / multiple teams";
IT;General IT;General IT;AIC;AIC000;Management;14;Senior Manager General IT;AIC000-M3-14;M3;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Identifies applications of functional knowledge and existing methodologies to complex problems
● Manages large teams of professionals and/or junior managers
";"University degree or equivalent and 10+ years of work experience or equivalent
Profound experience in managing performance and results of diverse activities / multiple teams";
IT;General IT;General IT;AIC;AIC000;Management;13;Manager General IT;AIC000-M2-13;M2;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Manages professional employees and/or supervisors or supervises large, complex support, production or operations team(s)
● Has accountability for the performance and results of a team within own discipline or function
● Adapts departmental plans and priorities to address resource and operational challenges
● Decisions and problem-solving are guided by policies, procedures and business plan; receives guidance from senior manager
● Provides technical guidance to employees, colleagues and/or customers";"● Accountable for the budget, performance and results of a medium-sized team or multiple small teams of employees
● Exercises full management authority, including performance reviews, pay decisions, recruitment, discipline, termination and other personnel actions
● Addresses issues with impact beyond own team based on knowledge of related disciplines";https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eCKgCbwAYWnkrXPbPzB9.png;
IT;General IT;General IT;AIC;AIC000;Management;12;Manager General IT;AIC000-M2-12;M2;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Manages professional employees and/or supervisors or supervises large, complex support, production or operations team(s)
● Has accountability for the performance and results of a team within own discipline or function
● Adapts departmental plans and priorities to address resource and operational challenges
● Decisions and problem-solving are guided by policies, procedures and business plan; receives guidance from senior manager
● Provides technical guidance to employees, colleagues and/or customers";"● Accountable for results of a small team of employees
● Exercises limited management authority; sets employee performance objectives, conducts performance reviews and recommends pay actions
● Defines team operating standards and ensures essential procedures are followed based on knowledge of own discipline";"University degree or equivalent and 7-10 years of work experience or equivalent
Experience in managing mixed-level team(s) of professionals and subordinate managers";
IT;General IT;General IT;AIC;AIC000;Professional;10;Senior Specialist General IT;AIC000-P2-10;P2;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● Typically follows prescribed guidelines or procedures to resolve problems
● Has working knowledge of basic concepts and procedures; performs a variety of routine tasks or assignments
● May train new team members and provide input to employee performance evaluations
● Works with a moderate level of guidance";University degree or equivalent and 2-4 years of work experience or equivalent;
IT;General IT;General IT;AIC;AIC000;Professional;9;Senior Specialist General IT;AIC000-P2-09;P2;Responsible for both the design, development and implementation of short- and long-term solutions to information technology (IT) and digital needs through new and existing applications, systems architecture, network systems and applications infrastructure and the management of the IT infrastructure within an organization.;Designs, develops, implements and oversees information technology (IT), including hardware, software and networks | Implements short- and long-term IT solutions that meet the needs of the organization | Installs, configures, administers, upgrades and maintains security for IT hardware, software and network infrastructure | Business and demand alignment as well project management (portfolio and stakeholder management) ;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● May have limited work experience involving basic concepts and procedures
● Develops competence by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Works under supervision and direction from more senior level roles";University degree or equivalent and 2-4 years of work experience or equivalent;
IT;IT Infrastructure & Operations ;IT Infrastructure & Operations;AIT;AIT000;Management;15;Senior Manager IT Infrastructure & Operations;AIT000-M3-15;M3;Manages the Information Technology (IT) infrastructure within an organization, including the physical network (e.g., LANs/WANs, servers, terminals) as well as server applications and software (e.g., PeopleSoft, Oracle). Configures, installs, maintains and upgrades server applications and hardware.Provides (on-site) technical support to the organization's internal users of computer applications and hardware (e.g., PCs, servers, mainframes). Responsible for the continuous improvement & evaluation and the complete lifecycle. Answers questions regarding system procedures, online transactions, systems status and downtime procedures. Collaborates with network services, software systems engineering and/or application development in order to restore service and/or identify problems. Maintains a troubleshooting tracking log ensuring timely resolution of problems.;Administers the IT infrastructure within an organization, including the physical network (e.g., LANs/WANs, servers, terminals) as well as server applications and software (e.g., PeopleSoft, Oracle) | Responsibilities are within the IT Administration Function as a generalist or in a combination of Disciplines;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Looks beyond existing methodologies and own discipline to define and resolve complex problems
● Develops plans and delivers results in fast-changing businesses and/or regulatory environments
● Provides input to functional or departmental strategy
● Manages large, potentially diverse teams of managers and/or senior professionals
";"University degree or equivalent and 10+ years of work experience or equivalent
Profound experience in managing performance and results of diverse activities / multiple teams";
IT;IT Infrastructure & Operations ;IT Infrastructure & Operations;AIT;AIT000;Management;14;Senior Manager IT Infrastructure & Operations;AIT000-M3-14;M3;Manages the Information Technology (IT) infrastructure within an organization, including the physical network (e.g., LANs/WANs, servers, terminals) as well as server applications and software (e.g., PeopleSoft, Oracle). Configures, installs, maintains and upgrades server applications and hardware.Provides (on-site) technical support to the organization's internal users of computer applications and hardware (e.g., PCs, servers, mainframes). Responsible for the continuous improvement & evaluation and the complete lifecycle. Answers questions regarding system procedures, online transactions, systems status and downtime procedures. Collaborates with network services, software systems engineering and/or application development in order to restore service and/or identify problems. Maintains a troubleshooting tracking log ensuring timely resolution of problems.;Administers the IT infrastructure within an organization, including the physical network (e.g., LANs/WANs, servers, terminals) as well as server applications and software (e.g., PeopleSoft, Oracle) | Responsibilities are within the IT Administration Function as a generalist or in a combination of Disciplines;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Identifies applications of functional knowledge and existing methodologies to complex problems
● Manages large teams of professionals and/or junior managers
";"University degree or equivalent and 10+ years of work experience or equivalent
Profound experience in managing performance and results of diverse activities / multiple teams";
